SampleID	Group	Cellular Processes	Environmental Information Processing	Genetic Information Processing	Human Diseases	Metabolism	Organismal Systems
ANX07	AN	7.3285720140177299E-3	2.5337138757116601E-2	4.6190805932867902E-2	2.9738758619639099E-3	8.1943838932183793E-2	1.2904378379750101E-3
ANX11	AN	5.2245125242647104E-3	2.2091465584609799E-2	3.12950479925026E-2	2.2036849492139002E-3	6.8707754727669906E-2	1.5246069107478499E-3
ANX101	HC	5.1989490842749E-3	2.08957673541076E-2	3.4381027860827501E-2	2.11622847343428E-3	6.9339566496382593E-2	1.3525303345195601E-3
ANX108	HC	5.18972011646417E-3	2.4324469977160201E-2	3.5961374175716702E-2	2.23477046597123E-3	7.3472897065043799E-2	1.0817785539404901E-3
ANX114	HC	5.1322337319361904E-3	1.7133290771392602E-2	3.4748869759085199E-2	2.1809578834667402E-3	6.6850627007234403E-2	1.24376445867576E-3
ANX131	HC	5.77669731291988E-3	2.58651946959573E-2	3.22416073286712E-2	2.4691982964059598E-3	6.08750147558689E-2	7.7699386474500501E-4
ANX132	HC	4.61537897606051E-3	1.6890442446849601E-2	3.3779147956183198E-2	2.0807728456077399E-3	6.7727071672835107E-2	1.04344760835615E-3
ANX134	HC	5.9476282590239897E-3	1.7802722401357898E-2	3.8946580986283799E-2	2.42520502042515E-3	7.4599939859637796E-2	1.32722438169841E-3
ANX135	HC	4.6982764474928799E-3	1.15477027104216E-2	3.46223376803486E-2	2.03449706187485E-3	6.6428312527247596E-2	1.3705207226560501E-3
ANX137	HC	5.5703550368254003E-3	2.1780804313622299E-2	3.7394662988038702E-2	2.23185763605457E-3	6.6364384476898394E-2	1.1292964752185001E-3
ANX139	HC	5.21367571563555E-3	2.0423665653722702E-2	3.4890250945128098E-2	2.0912483044678199E-3	6.3348129675718304E-2	1.1665119980690101E-3
ANX140	HC	5.4704139829502901E-3	1.9383736043843702E-2	3.2499106875121003E-2	2.0941622943233002E-3	7.3538843002785195E-2	1.5862596422852599E-3
ANX141	HC	5.2332752502953703E-3	1.36113800473235E-2	3.5094166859550101E-2	2.1198088271972299E-3	6.9003975869976197E-2	1.36171272241747E-3
ANX142	HC	7.5568428299081104E-3	2.0586003012288499E-2	3.7649828340588103E-2	2.5235368625614201E-3	7.7509087089518799E-2	1.3545144356495399E-3
ANX143	HC	5.5091535503075297E-3	2.13661663051808E-2	3.3682668611866702E-2	1.81297705800473E-3	6.4138772475676606E-2	1.2154312998376999E-3
ANX144	HC	5.9074385537943898E-3	1.91904201683246E-2	3.35786866438696E-2	2.3323776959581701E-3	6.8341782683888297E-2	1.53667924977419E-3
ANX146	HC	5.0290950879346699E-3	2.1796680861013301E-2	3.0914187666791701E-2	2.2648858452706598E-3	6.3512815265050301E-2	9.9656693294758805E-4
ANX147	HC	5.8784944334805498E-3	2.31566339246079E-2	3.6471462449858501E-2	2.3253534561501702E-3	7.2691305515506205E-2	1.14642758166485E-3
ANX148	HC	4.9452073723294703E-3	1.5932470828238302E-2	3.3854835984509599E-2	2.2417693699967999E-3	6.5809595164479096E-2	1.4050175752949401E-3
ANX149	HC	5.6909979856006399E-3	1.91849344832794E-2	3.4740303873924697E-2	2.0893819229512501E-3	6.5845780285737496E-2	1.3289667294805901E-3
ANX152	HC	4.96626373727124E-3	1.97087647492801E-2	3.3537782976637301E-2	1.91983882375153E-3	6.6714626735225296E-2	1.1828840200009899E-3
ANX154	HC	8.63049505164608E-3	2.9468467411585202E-2	4.5606233575121599E-2	3.32002713624919E-3	0.119045724052577	1.04991679247466E-3
ANX155	HC	5.9794628013147798E-3	2.1031919502164299E-2	4.0725129011192802E-2	2.57705290138495E-3	6.8265765448257298E-2	1.30709078016259E-3
ANX156	HC	6.8965618433719702E-3	2.8047821434700099E-2	3.4261281409982698E-2	2.6013606500386701E-3	7.35584959942647E-2	1.1292015712645799E-3
ANX157	HC	6.3991822332677096E-3	2.6507552010359599E-2	3.2132665117586903E-2	2.4410041354010099E-3	7.0630413642746706E-2	1.0350165528978099E-3
ANX159	HC	6.0676251707055696E-3	1.94133687868626E-2	4.08273492486542E-2	2.43818497368132E-3	6.2836122005196102E-2	1.4152483001588199E-3
ANX160	HC	6.6023324119059796E-3	2.08159802665146E-2	3.3882583668652801E-2	2.2545223737876902E-3	7.4842264723312096E-2	1.2475936753787401E-3
